날짜,품목명,가격
20040920.0,복숭아,15000
20040920.0,양파,1320
20040921.0,깐마늘(국산),6070
20040921.0,양파,1320
20040922.0,깐마늘(국산),6070
20040922.0,양파,1320
20040923.0,깐마늘(국산),6070
20040923.0,양파,1320
20040924.0,깐마늘(국산),6070
20040924.0,양파,1320
20040930.0,깐마늘(국산),6070
20040930.0,양파,1320
20041001.0,깐마늘(국산),6070
20041001.0,양파,1320
20041004.0,깐마늘(국산),6070
20041004.0,양파,1320
20041005.0,깐마늘(국산),6195
20041005.0,양파,1320
20041006.0,깐마늘(국산),6195
20041006.0,양파,1320
20041007.0,깐마늘(국산),6195
20041007.0,양파,1320
20041008.0,깐마늘(국산),6195
20041008.0,양파,1320
20041011.0,깐마늘(국산),6195
20041011.0,양파,1320
20041012.0,깐마늘(국산),6195
20041012.0,양파,1320
20041013.0,깐마늘(국산),6195
20041013.0,양파,1320
20041014.0,깐마늘(국산),6195
20041014.0,양파,1320
20041015.0,깐마늘(국산),6195
20041015.0,양파,1320
20041018.0,깐마늘(국산),6195
20041018.0,양파,1320
20041019.0,깐마늘(국산),6195
20041019.0,양파,1292
20041020.0,깐마늘(국산),6195
20041020.0,양파,1292
20041021.0,깐마늘(국산),6195
20041021.0,양파,1295
20041022.0,깐마늘(국산),6195
20041022.0,양파,1245
20041025.0,깐마늘(국산),6195
20041025.0,양파,1245
20041026.0,깐마늘(국산),6070
20041026.0,양파,1220
20041027.0,깐마늘(국산),6070
20041027.0,양파,1220
20041028.0,깐마늘(국산),6070
20041028.0,양파,1220
20041029.0,깐마늘(국산),6070
20041029.0,양파,1220
20041101.0,깐마늘(국산),5745
20041101.0,양파,1220
20041102.0,깐마늘(국산),5325
20041102.0,양파,1345
20041103.0,깐마늘(국산),5325
20041103.0,양파,1345
20041104.0,깐마늘(국산),5325
20041104.0,양파,1345
20041105.0,깐마늘(국산),5325
20041105.0,양파,1345
20041108.0,깐마늘(국산),5325
20041108.0,양파,1345
20041109.0,깐마늘(국산),5325
20041109.0,양파,1345
20041110.0,깐마늘(국산),5325
20041110.0,양파,1345
20041111.0,깐마늘(국산),5325
20041111.0,양파,1345
20041112.0,깐마늘(국산),5325
20041112.0,양파,1345
20041115.0,깐마늘(국산),5450
20041115.0,양파,1345
20041116.0,깐마늘(국산),5450
20041116.0,양파,1345
20041117.0,깐마늘(국산),5450
20041117.0,양파,1345
20041118.0,깐마늘(국산),5700
20041118.0,양파,1370
20041119.0,깐마늘(국산),5700
20041119.0,양파,1370
20041122.0,깐마늘(국산),5750
20041122.0,양파,1370
20041123.0,깐마늘(국산),5750
20041123.0,양파,1370
20041124.0,깐마늘(국산),5750
20041124.0,양파,1370
20041125.0,깐마늘(국산),5750
20041125.0,양파,1370
20041126.0,깐마늘(국산),5950
20041126.0,양파,1482
20041129.0,깐마늘(국산),5950
20041129.0,양파,1482
20041130.0,깐마늘(국산),5950
20041130.0,양파,1482
20041202.0,깐마늘(국산),5950
20041202.0,양파,1482
20041203.0,깐마늘(국산),5875
20041203.0,양파,1482
20041206.0,깐마늘(국산),5750
20041206.0,양파,1482
20041207.0,깐마늘(국산),5945
20041207.0,양파,1595
20041208.0,깐마늘(국산),5695
20041208.0,양파,1532
20041209.0,깐마늘(국산),5695
20041209.0,양파,1532
20041210.0,깐마늘(국산),5695
20041210.0,양파,1532
20041213.0,깐마늘(국산),5695
20041213.0,양파,1532
20041214.0,깐마늘(국산),5695
20041214.0,양파,1532
20041215.0,깐마늘(국산),5570
20041215.0,양파,1532
20041216.0,깐마늘(국산),5570
20041216.0,양파,1532
20041217.0,깐마늘(국산),5570
20041217.0,양파,1532
20041220.0,깐마늘(국산),5570
20041220.0,양파,1532
20041221.0,깐마늘(국산),5570
20041221.0,양파,1532
20041224.0,깐마늘(국산),5570
20041224.0,양파,1532
20041227.0,깐마늘(국산),5570
20041227.0,양파,1532
20041228.0,깐마늘(국산),5570
20041228.0,양파,1532
20041229.0,깐마늘(국산),5570
20041229.0,양파,1532
20041230.0,깐마늘(국산),5570
20041230.0,양파,1532
20041231.0,깐마늘(국산),5820
20041231.0,양파,1532
20050103.0,깐마늘(국산),5570
20050103.0,양파,1532
20050104.0,깐마늘(국산),5695
20050104.0,양파,1532
20050105.0,깐마늘(국산),5820
20050105.0,양파,1532
20050106.0,깐마늘(국산),5982
20050106.0,양파,1532
20050107.0,깐마늘(국산),5982
20050107.0,양파,1532
20050110.0,깐마늘(국산),6188
20050110.0,양파,1532
20050111.0,깐마늘(국산),6188
20050111.0,양파,1532
20050112.0,깐마늘(국산),6275
20050112.0,양파,1532
20050113.0,깐마늘(국산),6400
20050113.0,양파,1532
20050114.0,깐마늘(국산),6400
20050114.0,양파,1532
20050117.0,깐마늘(국산),6400
20050117.0,양파,1532
20050118.0,깐마늘(국산),6400
20050118.0,양파,1532
20050119.0,깐마늘(국산),6400
20050119.0,양파,1532
20050120.0,깐마늘(국산),6650
20050120.0,양파,1508
20050121.0,깐마늘(국산),6650
20050121.0,양파,1508
20050124.0,깐마늘(국산),6650
20050124.0,양파,1458
20050125.0,깐마늘(국산),6650
20050125.0,양파,1458
20050126.0,깐마늘(국산),6650
20050126.0,양파,1458
20050127.0,깐마늘(국산),6650
20050127.0,양파,1475
20050128.0,깐마늘(국산),6650
20050128.0,양파,1475
20050131.0,깐마늘(국산),6775
20050131.0,양파,1508
20050201.0,깐마늘(국산),6775
20050201.0,딸기,885
20050201.0,양파,1508
20050202.0,깐마늘(국산),6775
20050202.0,딸기,910
20050202.0,양파,1508
20050203.0,깐마늘(국산),6775
20050203.0,딸기,942
20050203.0,양파,1430
20050204.0,깐마늘(국산),6525
20050204.0,딸기,950
20050204.0,양파,1512
20050207.0,깐마늘(국산),6525
20050207.0,딸기,950
20050207.0,양파,1512
20050211.0,깐마늘(국산),6275
20050211.0,딸기,1000
20050211.0,양파,1512
20050214.0,깐마늘(국산),6275
20050214.0,딸기,1000
20050214.0,양파,1512
20050215.0,깐마늘(국산),6275
20050215.0,딸기,830
20050215.0,양파,1512
20050216.0,깐마늘(국산),6150
20050216.0,딸기,825
20050216.0,양파,1512
20050217.0,깐마늘(국산),6225
20050217.0,딸기,902
20050217.0,양파,1748
20050218.0,깐마늘(국산),6225
20050218.0,딸기,902
20050218.0,양파,1748
20050221.0,깐마늘(국산),6225
20050221.0,딸기,902
20050221.0,양파,1760
20050222.0,깐마늘(국산),6025
20050222.0,딸기,875
20050222.0,양파,1822
20050223.0,깐마늘(국산),6025
20050223.0,딸기,875
20050223.0,양파,1822
20050224.0,깐마늘(국산),6025
